G0	G0	G0	G0	G0	G0	G1	G1	G1	G1	G1	G1	G2	G2	G2	G2	G2	G2	G3	G3	G3	G3	G3	G3	G4	G4	G4	G4	G4	G4	G5	G5	G5	G5	G5	G5
18.3	18.2	18.1	17.6	17.2	18.6	18.3	18.1	18.2	19.2	17.3	17.9	17.4	18.2	18	17.4	18.3	18.7	17.6	18	18.3	17.4	18.5	18.1	17.7	18.2	18.5	17.3	18.5	17.8	17.5	18.1	18.5	18.3	18.3	17.7
19.3	19.1	19.1	18.5	18.5	19.9	18.7	19	18	18.6	18.7	17.9	18.2	18.6	19.1	17.9	18.7	18.3	17.9	18.2	19.3	18.7	19	19.3	18	18.1	19.1	18.3	18.7	18.1	17.8	18.1	18.8	17.3	19	17.8
19.8	19.5	19.4	19.3	19.4	20	19.3	18.8	18.5	19.5	19.7	18.4	18.9	18.8	19.2	18.8	19.9	18.6	19.1	19.2	18.6	19	19.4	19.3	18.8	18.6	18.8	18.8	18.8	19.6	19	19.1	18.7	18.6	19.6	18.6
20.4	19.6	20.2	20.3	20.1	19.4	19	19.4	19.7	19.6	19.2	20	19.1	19.8	19.5	19.1	19.4	20.1	18.9	18.4	19.5	20.7	18.9	20.3	19.4	19.1	19.4	19.2	19.3	19.7	19.7	19	19.1	19.2	19.4	19.2
20.7	19.9	20.4	20.3	20.3	20.2	19.2	20.4	19.8	19.9	19.5	20	19.9	19.6	20.1	20.2	20	19.9	19.7	19.4	20	20.7	19.8	20.1	20.2	19.9	20.1	19.3	20.1	20.4	20.1	19.7	19.9	20.2	20.4	20.3
																																			
																																			
																																			
																																			
																																			
