cluster	CD45	CD3	Ki67	CD117	MHC_II	B220	CX3CR1	CD163	CD38	Ly6G	Ly6C	CD19	CD127	CD62L	CD11c	CD44	CD24	CD103	Gr_1	FceRIa	TCRgd	F4_80	TCRb	CD64	CD69	CD25	CD86	NK1.1	CD27	CD206	FoxP3	CD317	IgD	CD80	PD_1	CD172a	CCR2	Siglec_F	MERTK	CD4	CD8	CD11b
C01	0.553070664	0.307205297	0.135043931	0.171914133	0.584569093	0.109950812	0.660426347	1	0.496743299	0.01409734	0.046677736	0.006226741	0.147455632	0.791313704	0.05579459	0.062735239	0.578933774	1	0.050722617	0.011496527	0.047591114	0.019675576	0.066279511	0.224822034	0.124947653	0.082366818	0.030088909	0.016118524	0.013720367	0.003948753	0.008839715	0.289084418	0.057180384	0.183986209	0.545976013	1	1	0.073483783	0.086839151	0.057098879	0.00022142	0.814038564
C02	0.602224831	0.283348185	0.417587452	0.167428536	0.642536709	0.228497255	0.486004244	1	0.630238011	0.033762643	0.104464191	0.009751543	0.096825717	0.932107648	0.044069647	0.084564658	0.211170985	1	0.090481699	0.020479401	0.058418012	0.0203428	0.120017353	0.430596242	0.13578559	0.092767822	0.025105513	0.01756271	0.018364039	0.006562681	0.013632061	0.155459241	0.088781737	0.312974774	0.757216242	1	1	0.062024158	0.077136748	0.103588442	0.001337023	0.944609829
C03	0.65674507	0.539451981	0.053658233	0.197687822	0.336388569	0.303892426	0.436346438	0.975499748	0.40191929	0.078793182	0.159826702	0.036696716	0.398024841	0.752511702	0.528295335	0.829244155	0.926298505	1	0.215176548	0.058001603	0.363598613	0.304694256	0.116226319	0.613161473	0.349538922	0.443158418	0.110794738	0.169055271	0.203170114	0.003626644	0.005318345	0.147863179	0.157440151	0.401885678	0.638204385	1	1	0.645781809	0.25470758	0.024910324	0.000604799	1
C04	0.613534293	0.056258752	0.022466863	0.041673688	0.264240379	0.02341927	0.201061621	0.507887736	0.093249328	0.02009297	0.055808259	0.007838965	0.033101407	0.173904592	0.430318834	0.854522585	1	0.559064385	0.065129679	0.000449962	0.037218347	0.253691686	0.052236414	0.084666226	0.038343069	0.016873058	0.017590272	0.001752053	0	5.85E-05	0.000277222	0.072781796	0.03989701	0.104250233	0.365792643	0.986328821	0.617598984	0.717084728	0.088408458	0.012858438	0	1
C05	0.682396746	0.08302752	0.032327889	0.057588904	0.331457345	0.0391806	0.310087143	0.643751254	0.145358701	0.141595216	0.084796217	0.012268548	0.051644893	0.225580344	0.363614341	0.766430142	1	0.725456395	0.541697189	0.022709254	0.075583293	0.262543359	0.100432143	0.131668276	0.058045505	0.034080327	0.026860212	0.004224243	0.001659163	0.002658004	0.002865465	0.115730955	0.06113787	0.13986649	0.540085884	1	0.784512935	0.69438077	0.109217353	0.019083764	0.001074244	1
C06	0.714210115	0.134961169	0.085285793	0.080065652	0.813684958	0.092772335	0.398202789	0.756939176	0.393554479	0.047392939	0.193551924	0.019196871	0.071351122	0.304240057	0.384194402	0.473188161	1	0.896195674	0.174646923	0.008364022	0.121999289	0.143390246	0.162586363	0.232666877	0.112556752	0.060202514	0.063297528	0.010558296	0.006309781	0.032316262	0.015314482	0.317660892	0.100578213	0.212891836	0.582481065	1	0.856888693	0.638688003	0.118510926	0.057437824	0.005491013	1
C07	0.74642269	0.096319601	0.049316085	0.052432854	0.400380693	0.051452145	0.329281439	0.683590265	0.186754004	0.047651806	0.075952892	0.010500756	0.055937387	0.222440684	0.387105047	0.093598661	1	0.756347029	0.195614286	0.007976272	0.071359466	0.090840943	0.143250013	0.145413977	0.059907631	0.038115631	0.019404289	0.005284653	0.002004024	0.002975547	0.009102078	0.11334744	0.064145815	0.201934534	0.569962891	1	0.771150411	0.68461356	0.114520616	0.027983874	0.00189518	1
C08	0.763355108	0.089670635	0.029255797	0.03542135	0.299332199	0.040570441	0.27488795	0.657145849	0.142449121	0.02187552	0.069290981	0.00747291	0.046803962	0.219199506	0.416129305	0.645680196	1	0.716570518	0.08689262	0.002355139	0.056812367	0.078238975	0.103001868	0.123430836	0.056819672	0.033497989	0.018225101	0.005647109	0.002041649	0	0.002967493	0.183021217	0.055689916	0.403767726	0.565674785	1	0.776964181	0.718291078	0.114561286	0.021508008	0.001217366	1
C09	0.391885308	0.014775094	0.140735623	0.011711424	0.419061797	0.02754402	0.093066363	0.157764286	0.130599052	0.661043902	0.515332903	0.016184946	0.016177287	0.054988828	0.055734526	0.377305157	0.70123765	0.362459597	1	0.284564295	0.128205218	0.005925738	0.065710318	0.026151385	0.033606737	0.005554475	0.04312867	0.003567782	0	0.007678132	0.005199102	0.077204139	0.032509153	0.072686042	0.141448689	0.59662843	0.213283998	0.021059118	0.001673863	0.016061069	0	1
C10	0.449830035	0.045967516	0.065746511	0.016778637	0.726827435	0.069022462	0.168265357	0.443541342	0.468204765	0.011923249	0.89828475	0.014867906	0.042312127	0.14335692	0.077649608	0.22048339	0.414048825	0.670243788	0.086845912	0.000772515	0.051536216	0.012853991	0.067403639	0.141553815	0.171197364	0.029958734	0.162477357	0.006971515	0.003860081	0.031056765	0.008921091	0.781548475	0.051387348	0.097570631	0.163402478	0.389487516	0.457921532	0.012463309	0.010148859	0.048420347	0.00214412	0.333562232
C11	0.458678709	0.017011398	0.067434411	0.009230207	0.59166947	0.039819855	0.125603695	0.215524381	0.14655805	0.009167788	0.88618632	0.005556226	0.032894211	0.060351274	0.063059651	0.248066131	0.170187876	0.427198793	0.028329811	0	0.039821733	0.027014801	0.042123879	0.292231948	0.059817808	0.008280133	0.238527664	0.00457516	0.005832516	0.022172189	0.001014112	0.268280097	0.015857775	0.052498876	0.091155824	0.684674898	0.282816102	0.007207783	0.005763682	0.020879322	0	0.95887862
C12	0.517158343	0.051115716	0.066784165	0.024960973	1	0.097842328	0.157748608	0.359560646	0.256316251	0.056254557	0.057580435	0.031191155	0.018044102	0.109104309	0.663817876	0.251475129	0.507781526	0.736839171	0.034826304	0	0.157130035	0.017286761	0.102484911	0.091887735	0.072086683	0.0284021	0.415191178	0.005327114	0.002508615	0.021134555	0.008263946	0.327699166	0.078579749	0.136273825	0.166621534	0.527594961	0.441770484	0.016424449	0.013143389	0.067502538	0.003005329	0.395291713
C13	0.436687893	0.044176935	0.09562718	0.01623959	1	0.082187955	0.352144059	0.311348653	0.401114299	0.011452573	0.103681187	0.000679692	0.011247361	0.070270085	0.324938271	0.359446302	0.122603693	0.582303665	0.014811854	0	0.172320421	0.111286351	0.051885908	0.56143714	0.08490844	0.027424112	0.415750013	0.004835488	0.009357394	0.44080877	0.039078577	0.349044902	0.020794632	0.114598009	0.131043824	0.745158011	0.392262367	0.018360259	0.019579779	0.106124399	0	0.899813091
C14	0.40346156	0.108302294	0.080594211	0.024622806	0.712219964	0.085543137	0.198125078	0.575344684	0.483183463	0.242072471	0.0522182	0.029161881	0.040620781	0.225085411	0.034774291	0.093054403	0.161606678	0.852421368	0.741125426	0.063292521	0.084604549	0.023328869	0.165985098	0.118143531	0.100012314	0.063170387	0.048523876	0.012902171	0.018567493	0.011913037	0.018035451	0.225558918	0.119932088	0.055264236	0.282824977	0.436032303	0.793584938	0.014589393	0.024923721	0.100571858	0.007797626	0.283824648
C15	0.347699807	0.079185549	0.05448774	0.028982761	0.914858664	0.080025055	0.199136801	0.68350401	0.406763348	0.011239051	0.028974837	0.004407273	0.028757852	0.289315583	0.022281386	0.063931882	0.137545457	0.897634642	0.033968494	0.002088559	0.097315095	0.017683464	0.048089702	0.141616144	0.091580514	0.062576308	0.02418125	0.012991883	0.008238003	0.006956193	0.00997378	0.316673825	0.05098647	0.088608629	0.294713426	0.532276601	0.808946172	0.015633099	0.05939452	0.048044665	0.00144068	0.357820392
