cluster	CD45	CD3	Ki67	CD117	MHC_II	B220	CX3CR1	CD163	CD38	Ly6G	Ly6C	CD19	CD127	CD62L	CD11c	CD44	CD24	CD103	Gr_1	FceRIa	TCRgd	F4_80	TCRb	CD64	CD69	CD25	CD86	NK1.1	CD27	CD206	FoxP3	CD317	IgD	CD80	PD_1	CD172a	CCR2	Siglec_F	MERTK	CD4	CD8	CD11b
C01	0.550153578	0.308411666	0.096526472	0.149324054	0.582864754	0.074581139	0.659740342	1	0.511211592	0	0	0	0.088053728	0.802966429	0	0.012128369	0.610556107	1	0	0	0	0	0.018457825	0.216770424	0.088654315	0.034323006	0	0	0	0	0	0.273760653	0.008258032	0.163277006	0.556511118	1	1	0.02754199	0.049801705	0.009331822	0	0.819823822
C02	0.590391725	0.266863273	0.381039592	0.141355218	0.646734367	0.218858585	0.504051243	1	0.641133252	0	0.055817617	0	0.054010322	0.935394678	0	0.042585528	0.190575171	1	0.047463389	0	0.010765981	0	0.083731039	0.432566766	0.101834033	0.048155255	0	0	0	0	0	0.111583632	0.045204952	0.299689336	0.765924893	1	1	0.008923275	0.03978478	0.069532006	0	0.938112252
C03	0.653314599	0.511772646	0	0.117979517	0.311752421	0.261051378	0.410623103	0.949826657	0.3705212	0.00527413	0.097187047	0	0.358615703	0.716836054	0.540016257	0.901737163	0.934760646	1	0.157743603	0	0.313452993	0.294748393	0.041349893	0.588368124	0.30353099	0.390846192	0.021090086	0.045090069	0.090992679	0	0	0.076230176	0.091563589	0.370120859	0.625664201	1	1	0.66547632	0.220236797	0	0	1
C04	0.61699828	0.00830834	0	0	0.241084581	0	0.190223342	0.526116792	0.050882403	0	0	0	0	0.154750738	0.444021455	0.871309174	1	0.585291795	0.007273909	0	0	0.22857258	0	0.036861957	0	0	0	0	0	0	0	0.010073973	0	0.055052958	0.382956701	0.99126992	0.637040995	0.741871004	0.042536613	0	0	1
C05	0.687629947	0.046944363	0	0	0.310369508	0	0.320349026	0.650034124	0.114063877	0.097698141	0.013996593	0	0	0.220105937	0.361269828	0.765742839	1	0.732440249	0.51691068	0	0.03218919	0.244707611	0.052302393	0.103542314	0.008822902	0	0	0	0	0	0	0.070052723	0.008252321	0.093354022	0.551583294	1	0.785963457	0.704621192	0.078407019	0	0	1
C06	0.716421211	0.113767433	0.020502951	0.032194738	0.807000811	0.053814607	0.412221957	0.760830005	0.399195595	0	0.102441612	0	0.024925185	0.305041355	0.390304974	0.443630895	1	0.895130153	0.113713783	0	0.091482426	0.085749674	0.130311019	0.226058092	0.075056058	0.009288893	0	0	0	0	0	0.289393351	0.050041955	0.181436863	0.601094221	1	0.85861286	0.659763543	0.088592844	0.006897398	0	1
C07	0.764950545	0.066252893	0	0	0.400431263	0	0.342604557	0.698405786	0.175717606	0	0.00835885	0	0.000538535	0.218198046	0.392429037	0.052397213	1	0.771209498	0.106497559	0	0.025251704	0.019680783	0.109162648	0.12228523	0.010562935	0	0	0	0	0	0	0.072603179	0.013378656	0.171348804	0.593070327	1	0.788047342	0.706511547	0.084701794	0	0	1
C08	0.767512575	0.057009348	0	0	0.298713386	0	0.276937743	0.663291062	0.120779826	0	0	0	0	0.214030767	0.418580518	0.642189646	1	0.722215974	0.026408102	0	0.008143392	0.023541914	0.057842071	0.095771257	0.007106083	0	0	0	0	0	0	0.120146382	0.004307959	0.409245475	0.575119422	1	0.773254547	0.730792345	0.084731166	0	0	1
C09	0.363370708	0	0.054830448	0	0.385128775	0	0.038662624	0.101730238	0.064941734	0.687367672	0.539505454	0	0	0	0	0.268457739	0.715044489	0.348762243	1	0.294534101	0.096249184	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10278296	0.592960149	0.160086348	0	0	0	0	1
C10	0.446745097	0	0	0	0.72889661	0.014858898	0.145713006	0.418292332	0.481306586	0	0.909442686	0	0	0.088317778	0	0.127126778	0.414038915	0.673196367	0	0	0	0	0	0.065990025	0.099164999	0	0.120761806	0	0	0	0	0.790617039	0	0.021195255	0.119949133	0.382840684	0.430452769	0	0	0	0	0.287790052
C11	0.446392682	0	0.006988462	0	0.55449013	0	0.100883695	0.213073224	0.124961145	0	0.895438529	0	0	0	0	0.203027676	0.100220271	0.438022973	0	0	0	0	0	0.273743068	0	0	0.222128895	0	0	0	0	0.249185075	0	0	0.045145519	0.695496095	0.283018627	0	0	0	0	0.961371746
C12	0.509560358	0	0	0	1	0.056406065	0.136281278	0.355240347	0.213032286	0	0	0	0	0.063551713	0.671534254	0.185693695	0.506266359	0.733722643	0	0	0.135482484	0	0	0.040975318	0.016291702	0	0.407314127	0	0	0	0	0.299214101	0	0.080986186	0.136103641	0.542994364	0.43674218	0	0	0	0	0.339213075
C13	0.418810525	0	0.033838567	0	1	0.041421465	0.349010552	0.296629445	0.405854932	0	0.024843969	0	0	0.014406637	0.272955514	0.335650267	0.051146942	0.600659145	0	0	0.143911433	0.036550708	0	0.570399733	0.038172757	0	0.423576796	0	0	0.400881042	0	0.340601777	0	0.061616761	0.09255683	0.748948482	0.396973668	0	0	0.04130187	0	0.905962418
C14	0.379584564	0.054459305	0.008602221	0	0.72487296	0.029216668	0.184163412	0.595807963	0.49639924	0.219799413	0	0	0	0.202387508	0	0.012572073	0.106142009	0.87407834	0.731661586	0	0.042924737	0	0.057018321	0.086335069	0.052948667	0.009829033	0	0	0	0	0	0.171913407	0.020800134	0	0.284198885	0.442558209	0.796445965	0	0	0.01940951	0	0.269578142
C15	0.33545821	0.035437315	0	0	0.940175112	0.040695872	0.190585209	0.68284281	0.410809569	0	0	0	0	0.277241673	0	0	0.080698523	0.907215477	0	0	0.054401631	0	0	0.11395576	0.048855342	0.00844659	0	0	0	0	0	0.276602654	0	0.020747801	0.298575427	0.534954742	0.825112326	0	0	0	0	0.344608963
C16	0.369209452	0.084896925	0.142807758	0	0.990334458	0.040457757	0.584481597	0.747331284	0.236168765	0	0	0	0	0.432123267	0	0	0.366796171	0.871499881	0	0	0.077096115	0	0	0.049453295	0.365985062	0	0	0	0	0	0	0.187443234	0	0	0.339231436	0.844171115	1	0	0	0	0	0.536952535
C17	0.73138064	0.430518215	0.165588573	0	0.358437179	0	0.04710786	0	0.084528102	0	0	0	0.085150822	0	0	0.436982401	0.037293295	0.018435096	0	0	0	0	0.699663641	0	0	0	0	0	0.009946839	0	0	0.041068346	0	0	0	0	0.025765356	0	0	0.734350989	0	0
C18	0.702805294	0.155526566	0.06677198	0	0.348132825	0	0.238031784	0	0.057915097	0	0	0	0	0	0	0.310467501	0.200959125	0	0	0	0	0	0.443438857	0	0	0	0.175391101	0	0.600939928	0	0	0.040622532	0	0	0	0	0.099234352	0	0	0	0.050419932	0
C19	0.660970225	0	0.169691164	0	1	0.378471994	0.091351447	0	0.565962493	0	0	0.4570114	0	0	0	0.204777067	0.429543911	0	0	0	0.098037622	0	0	0	0	0	0	0	0	0	0	0.027353336	0.717618475	0	0	0	0.001130438	0	0	0	0	0
C20	0.574685675	0	0.719467451	0	1	0.440456378	0.179589917	0.039651637	0.210651004	0	0	0.166558168	0	0	0	0.080089147	0.684007462	0.128079968	0	0	0.207930144	0	0	0	0	0	0.149349419	0	0	0	0	0.052870162	0	0	0	0	0.060229006	0	0	0	0	0
C21	0.247407339	0	0.136095068	0	0.620993092	0.023998644	0.124290196	0.424470582	0.40151249	0	0	0	0	0.291065386	0	0.403448511	0.249373223	0.57534569	0.114388356	0	0	0.008036879	0	0.026864702	0.006368285	0	0	0.282728786	0	0.006593649	0	0.396916211	0.021090878	0	0.086188124	0.309217372	0.498762897	0.293145953	0	0	0	0
C22	0.454400239	0.066921297	0.042147384	0	0.477685953	0	0.075094334	0.235497516	0.201618111	0	0	0	0	0.039366367	0	0.04926879	0.010584413	0.627758582	0	0	0	0	0.492669205	0	0.032986876	0	0	0	0	0	0	0.066496767	0	0	0.105725842	0.086023207	0.349948982	0	0	0.110117525	0	0.052709895
C23	0.54135688	0.097322444	0.076986879	0	0.414207047	0	0.077078472	0.190547309	0.145742238	0	0.458131673	0	0.020572086	0.02985879	0	0.059554634	0	0.535392373	0	0	0	0	0.505516876	0	0	0	0.170223206	0	0	0	0	0.087002489	0	0	0.033087978	0.04703102	0.287695771	0	0	0	0.017144893	0.028526293
C24	0.507706629	0.003713926	0.101311846	0	0.991492012	0.239450614	0.194326985	0.46172118	0.499219238	0	0	0.176748943	0	0.120738212	0	0.101330053	0.342696171	0.73936768	0	0	0.080157183	0	0	0.017330181	0.027791289	0	0	0	0	0	0	0.17385263	0.546442267	0	0.145962877	0.316407781	0.5864078	0	0	0.00129587	0	0.2029509
